INF109,INF110_TOT,PatrullajeTotal,Denuncias
2,15,210,2
1,13,90,1
1,13,90,0
2,11,120,0
2,16,90,6
3,12,180,5
1,14,105,4
1,12,75,0
5,28,90,8
3,13,90,2
3,25,270,20
2,14,135,0
2,16,99,2
2,13,72,3
3,9,120,0
1,9,120,0
2,9,180,0
5,25,424,24
3,16,90,15
2,11,150,0
2,13,90,3
3,11,120,7
2,10,210,4
3,10,180,4
3,20,180,11
2,15,150,0
4,40,270,39
2,17,140,7
2,14,160,0
2,14,70,0
2,15,90,0
3,12,90,2
1,12,90,0
2,12,150,3
1,14,180,1
3,31,150,0
2,16,215,1
2,15,120,5
1,11,140,0
1,11,137,0
1,13,115,3
1,13,112,0
1,13,68,0
1,11,206,0
3,13,165,5
1,14,15,9
1,13,90,0
5,44,1377,26
3,19,180,8
1,12,90,0
2,16,6,12
3,14,150,9
4,23,120,5
4,53,90,63
4,54,90,156
2,22,70,14
1,15,120,0
2,14,120,0
1,9,90,0
4,20,90,1
2,12,270,20
3,10,6,0
4,17,180,7
2,13,75,0
2,11,81,0
2,10,95,2
3,26,70,4
5,123,270,80
5,156,1373,108
5,59,240,67
4,38,243,17
5,48,150,54
3,45,540,41
4,35,150,12
3,45,240,1
5,47,480,48
5,44,240,39
4,71,38,45
6,44,24,90
5,25,360,26
2,16,150,2
4,72,390,57
3,41,420,23
4,25,420,10
2,21,178,15
4,11,90,4
2,10,8,9
1,13,12,3
4,68,690,60
5,55,210,17
6,129,1110,69
3,38,90,20
2,18,240,5
5,31,180,9
5,42,330,26
4,30,210,7
3,36,90,24
4,47,240,30
2,33,360,5
2,14,150,0
1,16,90,2
2,18,150,13
4,33,300,7
1,17,14,0
1,12,18,0
1,8,6,3
2,71,570,96
5,47,420,32
4,33,240,12
3,21,240,7
1,29,180,21
1,13,90,6
4,36,210,36
6,76,540,89
4,19,210,1
4,40,25,29
2,21,60,5
6,137,1710,112
5,47,210,36
6,32,130,30
1,12,150,0
1,13,180,0
1,16,180,3
1,13,120,3
1,12,210,3
2,16,188,3
2,19,210,14
1,10,90,0
4,49,360,32
2,16,120,7
2,10,90,4
1,14,240,11
1,13,210,4
2,28,300,14
2,11,45,5
2,7,45,0
2,14,90,0
2,10,90,1
2,22,120,17
3,13,60,0
3,9,120,0
4,13,75,5
4,9,135,6
4,16,120,12
4,16,190,2
5,24,183,15
4,12,150,2
4,18,134,3
1,8,60,0
1,12,0,3
2,11,90,3
2,14,90,3
2,10,90,1
5,79,990,90
5,16,360,7
1,11,210,2
4,9,150,1
4,13,150,1
6,76,240,55
3,24,330,20
2,15,150,4
2,12,90,3
5,19,240,7
2,17,150,3
2,18,150,18
2,14,15,0
1,21,4,2
1,9,5,0
5,62,495,35
2,14,150,2
2,28,150,10
3,19,140,6
1,15,150,2
1,14,90,0
2,18,120,4
2,17,180,2
1,10,100,1
1,12,90,2
1,13,90,1
1,10,90,0
1,10,270,1
5,46,360,17
1,14,90,3
2,23,270,1
6,71,150,31
1,43,360,27
4,83,450,42
4,34,270,4
1,19,90,0
4,55,90,5
1,10,12,0
1,14,60,0
4,42,90,9
2,12,90,1
3,38,60,16
6,110,2740,59
4,48,90,7
1,13,90,0
1,6,90,0
1,7,90,0
1,12,150,2
1,14,180,0
2,8,150,0
1,9,90,5
1,21,300,0
1,10,120,0
1,7,50,0
1,8,30,0
1,6,150,0
6,151,150,69
5,21,90,7
2,16,120,2
3,20,75,2
4,20,90,0
4,16,108,2
1,17,155,2
4,15,150,3
1,15,72,3
3,15,72,6
2,15,120,0
2,14,180,2
4,28,123,2
3,16,165,2
3,13,70,2
3,14,62,2
2,16,180,5
6,30,90,0
3,18,120,0
4,18,86,4
4,28,150,0
3,17,120,0
4,16,120,0
3,17,84,4
5,46,150,9
3,16,120,2
4,21,150,1
5,23,120,4
1,15,120,0
1,14,60,1
3,17,34,13
3,15,140,3
3,31,149,6
3,18,106,2
2,17,132,7
2,16,134,4
4,27,330,8
3,12,90,1
3,15,180,2
3,16,180,5
2,17,210,5
2,15,146,1
2,16,8,0
3,32,150,6
5,61,180,5
3,20,180,4
6,65,230,1
5,66,185,53
2,16,177,0
4,27,90,2
2,14,120,2
3,21,150,2
5,21,80,2
1,16,105,1
2,14,70,1
1,16,60,1
3,15,83,1
6,84,36,162
2,30,12,9
4,30,16,16
2,28,49,24
2,17,150,3
3,15,30,3
3,21,90,1
2,14,53,2
3,11,80,5
3,18,150,5
3,22,18,2
3,13,16,4
2,19,16,1
2,11,24,3
4,9,16,0
1,9,90,0
3,30,150,28
3,18,145,4
3,17,45,4
2,10,90,0
6,87,271,17
4,21,121,0
1,10,100,1
1,10,105,0
3,12,40,0
5,10,200,9
3,9,18,4
3,13,16,3
3,12,18,2
4,11,57,0
4,74,180,32
4,34,434,22
2,9,90,4
4,12,180,2
3,13,4,0
3,7,0,1
3,10,90,4
2,14,60,1
1,11,210,0
1,11,68,0
2,13,84,1
4,14,96,5
5,25,18,4
2,15,12,4
1,12,16,1
1,11,16,0
6,78,150,75
6,59,180,39
6,77,600,49
6,86,540,53
2,15,60,8
1,7,60,1
2,10,120,4
4,39,450,4
1,13,38,1
3,16,270,4
2,17,150,4
3,16,210,12
2,18,90,6
4,46,870,31
4,107,1320,169
3,14,150,1
2,16,210,6
3,35,180,11
3,20,270,10
3,13,120,6
2,9,75,4
6,112,990,106
5,94,630,48
1,10,30,0
3,9,95,1
3,10,150,1
3,11,90,9
1,10,75,0
5,69,31,24
1,11,20,0
4,9,15,3
3,11,180,1
3,10,90,3
5,38,210,18
3,7,75,0
3,8,120,1
2,9,180,1
3,7,90,1
5,60,8,32
1,8,90,1
2,9,90,2
2,8,90,1
2,7,30,0
2,9,90,1
2,15,105,2
5,45,225,28
3,9,180,0
2,10,200,0
2,9,90,1
3,9,90,4
2,8,38,0
3,10,90,1
3,9,28,0
2,9,35,0
3,8,180,0
4,13,96,0
2,8,60,0
4,17,450,12
1,8,60,3
3,10,180,1
1,8,90,0
2,9,180,2
3,11,180,0
2,8,180,0
1,9,30,1
2,17,15,9
6,38,240,38
2,7,90,2
3,7,90,3
3,13,90,3
3,6,75,0
3,7,180,3
3,6,60,3
3,6,180,6
2,7,368,3
5,29,270,13
2,8,95,4
